,Gender,Age,Frequency,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize,G_Arcade,G_Simulation,G_Puzzle,G_Action,G_Adventure,G_MMO,G_Strategy,G_RolePlaying,G_Racing,G_Sports,G_Music,G_BoardCard,G_Educational,G_Logic,D_Smartphone,D_PC,D_Console,D_Portable,D_Arcade
168,Male,18-24,10-14 hours a week,7,2,6,4,1,3,5,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
169,Female,18-24,6-9 hours a week,6,5,7,4,2,1,4,1,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0
170,Female,18-24,Less than 3 hours a week,7,6,3,3,5,2,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
172,Female,18-24,6-9 hours a week,6,1,6,4,1,5,1,6,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
175,Female,18-24,10-14 hours a week,6,5,7,6,5,5,5,5,6,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0
176,Female,18-24,Less than 3 hours a week,7,2,2,2,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
177,Female,18-24,3-5 hours a week,7,3,4,1,1,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
178,Female,25-29,Less than 3 hours a week,6,4,3,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
179,Female,18-24,Less than 3 hours a week,5,1,3,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
180,Female,18-24,10-14 hours a week,7,2,7,3,1,5,1,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
181,Female,18-24,6-9 hours a week,7,5,7,5,3,3,1,5,2,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
182,Female,25-29,3-5 hours a week,6,3,5,3,1,1,1,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
183,Female,18-24,6-9 hours a week,6,4,7,3,1,6,1,6,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0
184,Female,18-24,Less than 3 hours a week,7,3,3,1,1,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
185,Female,18-24,Less than 3 hours a week,7,3,4,3,1,1,1,3,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0
186,Female,18-24,Less than 3 hours a week,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
187,Female,25-29,15-19 hours a week,7,4,7,7,1,5,1,7,5,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
189,Female,18-24,3-5 hours a week,4,4,5,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
190,Male,18-24,3-5 hours a week,7,3,5,2,1,1,1,3,3,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0
191,Female,18-24,Less than 3 hours a week,4,4,4,4,3,2,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
192,Male,18-24,15-19 hours a week,5,4,2,5,1,1,1,4,3,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0
193,Male,18-24,3-5 hours a week,2,5,4,7,4,6,6,4,7,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
194,Female,18-24,Less than 3 hours a week,3,5,1,5,1,4,4,5,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
195,Female,18-24,Less than 3 hours a week,4,2,4,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
