,Gender,Age,Frequency,Device,Genres,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize
408,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Simulation;Strategy;Role-playing;Racing;Music, dance or party;Logic game",7,1,7,2,3,5,2,6,2
409,Female,18-24,Less than 3 hours a week,Smartphone,"Sports;Music, dance or party",4,5,6,2,3,5,1,2,3
410,Male,25-29,15-19 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Strategy,7,1,7,1,1,1,1,7,1
411,Female,18-24,3-5 hours a week,Smartphone;PC/Laptop,Puzzle;Logic game,4,2,4,2,1,1,1,1,1
412,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Strategy;Role-playing;Music, dance or party;Logic game",6,1,4,1,1,1,1,1,1
413,Female,18-24,Less than 3 hours a week,Smartphone,"Action;Adventure;Music, dance or party",4,7,7,3,1,2,2,1,2
414,Female,30-34,Less than 3 hours a week,PC/Laptop,Puzzle;Racing;Board or card game,7,2,6,2,1,1,1,4,1
415,Female,18-24,3-5 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Sports;Music, dance or party",4,4,4,1,1,2,1,1,1
417,Female,18-24,Less than 3 hours a week,Smartphone,Adventure,5,5,7,4,2,7,7,5,4
418,Female,18-24,Less than 3 hours a week,Smartphone;PC/Laptop,Simulation,4,3,4,4,2,2,1,3,3
419,Female,18-24,Less than 3 hours a week,Smartphone,Adventure,4,6,2,2,2,4,3,6,4
420,Female,18-24,Less than 3 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation,7,2,1,1,1,1,1,1,1
421,Male,18-24,20 hours or more a week,Smartphone,"Simulation;Action;Role-playing;Sports;Music, dance or party",5,4,7,3,1,3,1,4,1
422,Female,18-24,6-9 hours a week,PC/Laptop,"Music, dance or party",7,2,4,2,7,3,3,3,3
423,Female,18-24,3-5 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Role-playing;Music, dance or party",2,3,4,2,6,3,1,7,2
424,Female,18-24,Less than 3 hours a week,Smartphone,Action,6,5,7,1,1,3,4,2,1
426,Female,25-29,Less than 3 hours a week,Smartphone,Simulation,7,1,3,1,1,1,1,1,1
427,Male,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Arcade;Simulation;Action;Adventure;Strategy;Sports;Music, dance or party",5,6,3,4,2,5,6,5,7
428,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Puzzle;Adventure;Role-playing;Music, dance or party",7,2,6,4,4,6,7,6,7
429,Female,18-24,Less than 3 hours a week,Smartphone,Simulation,7,1,6,5,2,2,2,6,4
430,Male,25-29,6-9 hours a week,PC/Laptop,Arcade;Action;Adventure;MMO;Strategy;Racing;Sports;Logic game,5,2,5,5,1,1,1,2,1
431,Female,18-24,15-19 hours a week,PC/Laptop,Action,7,4,5,5,2,6,4,3,5
432,Female,25-29,6-9 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Adventure,6,7,5,6,1,1,5,3,3
433,Female,18-24,Less than 3 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Adventure,7,1,1,1,1,1,1,1,1
434,Female,18-24,Less than 3 hours a week,Smartphone,Arcade;Simulation;Puzzle;Strategy;Logic game,7,2,6,1,3,1,1,1,4
435,Female,35-39,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS);Arcade",MMO;Strategy;Role-playing;Educational,7,7,7,7,6,7,1,2,7
436,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Action;Adventure;Strategy;Music, dance or party;Logic game",7,2,4,4,3,2,1,1,2
437,Female,18-24,10-14 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Adventure;Role-playing;Music, dance or party",4,5,3,5,2,3,6,2,5
438,Female,18-24,10-14 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS);Arcade",Simulation;Puzzle;Adventure;Strategy;Logic game,6,6,5,4,1,1,1,4,2
439,Female,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;MMO;Role-playing;Logic game,5,4,4,3,2,2,3,2,2
440,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Strategy;Role-playing,6,1,5,3,1,1,1,1,1
441,Female,18-24,10-14 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Puzzle;Sports;Music, dance or party;Board or card game;Educational;Logic game",7,2,7,3,2,1,1,1,1
442,Female,18-24,Less than 3 hours a week,PC/Laptop,Simulation;Adventure,7,3,5,2,1,1,2,3,1
443,Male,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Puzzle;Adventure;Sports;Logic game,6,6,3,5,1,2,1,6,2
444,Male,18-24,10-14 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Action;Adventure,7,4,7,2,4,2,3,7,1
445,Female,18-24,Less than 3 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS);Wii","Action;Adventure;Sports;Music, dance or party",7,7,5,7,5,7,7,7,7
446,Female,18-24,3-5 hours a week,Smartphone,Logic game,4,6,5,7,7,7,4,5,5
447,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Role-playing,6,3,7,3,3,3,3,3,3
448,Female,18-24,3-5 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade,7,1,4,2,1,1,1,5,1
449,Female,35-39,Less than 3 hours a week,Smartphone,Logic game,4,2,6,3,2,1,1,2,1
