,Gender,Age,Frequency,Device,Genres,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize
514,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure;Role-playing;Sports,5,1,4,1,1,1,1,1,1
515,Female,18-24,Less than 3 hours a week,Smartphone,Role-playing;Logic game,7,5,7,5,2,5,2,4,4
516,Female,18-24,6-9 hours a week,Smartphone,Action,7,7,7,4,1,5,1,1,6
518,Female,>45,Less than 3 hours a week,Smartphone,"Simulation;Puzzle;Action;Adventure;Music, dance or party",6,4,5,4,3,3,2,4,4
519,Female,18-24,Less than 3 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Adventure,5,1,3,1,1,1,1,2,1
520,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Adventure;Strategy,7,4,7,4,1,3,2,3,2
522,Male,25-29,15-19 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure;Sports,6,4,5,2,1,1,1,1,1
523,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Simulation;Puzzle;Sports;Board or card game;Logic game,7,4,4,6,5,5,3,5,6
524,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure,7,3,4,2,1,1,1,2,1
525,Male,18-24,15-19 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Adventure,7,1,1,7,1,1,7,7,1
526,Female,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Puzzle;Role-playing;Music, dance or party;Logic game",6,5,3,4,4,6,2,4,6
527,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Action;Adventure;Logic game,7,6,7,7,4,2,1,3,1
528,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure;Role-playing,7,4,7,3,2,2,1,4,1
529,Female,18-24,Less than 3 hours a week,Smartphone,"Action;Adventure;Sports;Music, dance or party;Logic game",5,1,6,1,6,1,1,1,1
530,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Sports,5,1,3,1,1,1,1,1,1
531,Female,18-24,10-14 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Adventure;Logic game,6,5,5,2,1,2,1,4,2
532,Male,18-24,20 hours or more a week,PC/Laptop,Simulation;Action,7,7,5,3,7,3,6,3,4
533,Female,18-24,6-9 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Action;Adventure;Strategy,7,4,5,5,2,6,7,5,6
535,Female,18-24,3-5 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Role-playing,6,4,2,3,1,1,1,1,1
536,Female,30-34,20 hours or more a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Puzzle;Adventure,6,4,5,4,1,2,1,5,3
537,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS);Arcade","Arcade;Sports;Music, dance or party;Educational",7,3,5,3,3,1,1,3,1
538,Female,18-24,6-9 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Puzzle;Board or card game,5,2,5,1,1,1,1,1,1
539,Female,18-24,Less than 3 hours a week,Smartphone,Sports,1,2,2,2,3,1,2,1,2
540,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure,7,1,4,1,1,4,1,7,1
541,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Adventure;Music, dance or party",4,4,1,4,3,4,3,3,3
542,Female,25-29,6-9 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Simulation;Adventure;Strategy;Role-playing;Board or card game,7,7,6,5,1,2,1,1,1
543,Female,18-24,15-19 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",MMO;Logic game,2,1,2,1,1,7,4,1,7
544,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS);Arcade","Arcade;Simulation;Adventure;Music, dance or party;Logic game",5,4,6,3,6,5,6,7,3
545,Female,25-29,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Adventure;Strategy,7,4,6,2,2,1,1,4,1
546,Female,18-24,6-9 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Puzzle;Adventure;Music, dance or party;Logic game",7,5,6,4,6,5,4,5,4
547,Female,18-24,10-14 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Action;Adventure;MMO;Strategy;Role-playing;Racing;Music, dance or party",7,5,7,6,3,4,5,5,3
548,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Action;Adventure;Role-playing;Music, dance or party;Logic game",7,1,4,5,1,1,1,1,1
549,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Action;Adventure;Role-playing;Music, dance or party",1,2,1,1,1,1,1,1,1
550,Female,18-24,3-5 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Arcade;Simulation;Puzzle;Action;Adventure;Strategy;Sports;Music, dance or party;Educational;Logic game",6,2,5,4,3,6,2,3,5
551,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Adventure;MMO;Strategy;Role-playing,7,2,6,1,1,1,1,5,1
552,Female,25-29,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Action;Logic game,7,4,2,4,2,3,2,5,1
553,Female,18-24,3-5 hours a week,Smartphone,"Arcade;Simulation;Puzzle;Action;Role-playing;Sports;Music, dance or party;Board or card game;Educational;Logic game",7,7,7,7,7,7,7,7,7
