,Frequency,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize,G_Arcade,G_Simulation,G_Puzzle,G_Action,G_Adventure,G_MMO,G_Strategy,G_RolePlaying,G_Racing,G_Sports,G_Music,G_BoardCard,G_Educational,G_Logic,D_Smartphone,D_PC,D_Console,D_Portable,D_Arcade
371,Less than 3 hours a week,6,3,6,4,1,1,1,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
374,3-5 hours a week,7,6,7,7,1,7,2,7,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
376,3-5 hours a week,7,4,7,3,1,1,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
378,Less than 3 hours a week,7,5,6,4,5,4,1,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
381,3-5 hours a week,7,2,5,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
382,6-9 hours a week,7,6,7,4,2,1,1,4,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0
384,Less than 3 hours a week,7,1,7,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
385,Less than 3 hours a week,7,3,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
387,Less than 3 hours a week,7,4,4,1,1,1,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
388,Less than 3 hours a week,5,6,4,4,7,4,6,4,2,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1
389,Less than 3 hours a week,6,3,4,3,1,2,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
390,Less than 3 hours a week,6,4,7,2,1,1,1,2,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0
395,Less than 3 hours a week,7,2,5,2,2,1,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
396,15-19 hours a week,7,5,7,5,1,2,5,6,3,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0
397,10-14 hours a week,4,3,3,3,2,1,4,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
398,Less than 3 hours a week,7,1,6,1,1,1,1,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
400,10-14 hours a week,7,1,5,1,1,3,1,6,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
401,6-9 hours a week,7,3,2,2,2,3,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
404,6-9 hours a week,7,3,5,3,3,3,1,4,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0
405,Less than 3 hours a week,7,6,6,4,7,1,3,4,2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0
406,Less than 3 hours a week,4,4,6,2,3,3,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
407,3-5 hours a week,6,1,5,4,1,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
408,3-5 hours a week,7,1,7,2,3,5,2,6,2,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0
409,Less than 3 hours a week,4,5,6,2,3,5,1,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
